"geo","dguid","age","disability","value","rate"
"Yukon",60,"25-44","Moderate",NA,NA
"Yukon",60,"25-44","Severe",NA,NA
"Yukon",60,"25-44","Very severe",NA,NA
"Yukon",60,"45-64","Total population",10420,1
"Yukon",60,"45-64","Total with disability",3660,0.351247600767754
"Yukon",60,"45-64","Mild",1370,0.13147792706334
"Yukon",60,"45-64","Moderate",NA,NA
"Yukon",60,"45-64","Severe",NA,NA
"Yukon",60,"45-64","Very severe",NA,NA
"Yukon",60,"65+","Total population",5660,1
"Yukon",60,"65+","Total with disability",2680,0.473498233215548
"Yukon",60,"65+","Mild",1020,0.180212014134276
"Yukon",60,"65+","Moderate",NA,NA
"Yukon",60,"65+","Severe",NA,NA
"Yukon",60,"65+","Very severe",NA,NA
"Northwest Territories",61,"Total","Total population",31260,1
"Northwest Territories",61,"Total","Total with disability",8030,0.256877799104287
"Northwest Territories",61,"Total","Mild",3190,0.102047344849648
"Northwest Territories",61,"Total","Moderate",2020,0.0646193218170186
"Northwest Territories",61,"Total","Severe",1630,0.0521433141394754
"Northwest Territories",61,"Total","Very severe",1180,0.0377479206653871
"Northwest Territories",61,"15-24","Total population",4870,1
"Northwest Territories",61,"15-24","Total with disability",NA,NA
"Northwest Territories",61,"15-24","Mild",NA,NA
"Northwest Territories",61,"15-24","Moderate",NA,NA
"Northwest Territories",61,"15-24","Severe",NA,NA
"Northwest Territories",61,"15-24","Very severe",NA,NA
"Northwest Territories",61,"25-64","Total population",22670,1
"Northwest Territories",61,"25-64","Total with disability",5570,0.245699161887958
"Northwest Territories",61,"25-64","Mild",2320,0.102337891486546
"Northwest Territories",61,"25-64","Moderate",1290,0.0569033965593295
"Northwest Territories",61,"25-64","Severe",1120,0.0494044993383326
"Northwest Territories",61,"25-64","Very severe",NA,NA
"Northwest Territories",61,"25-44","Total population",12310,1
"Northwest Territories",61,"25-44","Total with disability",2260,0.183590576766856
"Northwest Territories",61,"25-44","Mild",1110,0.0901705930138099
"Northwest Territories",61,"25-44","Moderate",NA,NA
"Northwest Territories",61,"25-44","Severe",NA,NA
"Northwest Territories",61,"25-44","Very severe",NA,NA
"Northwest Territories",61,"45-64","Total population",10350,1
"Northwest Territories",61,"45-64","Total with disability",3310,0.319806763285024
"Northwest Territories",61,"45-64","Mild",1210,0.116908212560386
"Northwest Territories",61,"45-64","Moderate",NA,NA
"Northwest Territories",61,"45-64","Severe",NA,NA
"Northwest Territories",61,"45-64","Very severe",NA,NA
"Northwest Territories",61,"65+","Total population",3720,1
"Northwest Territories",61,"65+","Total with disability",1670,0.448924731182796
"Northwest Territories",61,"65+","Mild",NA,NA
"Northwest Territories",61,"65+","Moderate",NA,NA
"Northwest Territories",61,"65+","Severe",NA,NA
"Northwest Territories",61,"65+","Very severe",NA,NA
"Nunavut",62,"Total","Total population",24090,1
"Nunavut",62,"Total","Total with disability",4640,0.19261104192611
"Nunavut",62,"Total","Mild",2090,0.0867579908675799
"Nunavut",62,"Total","Moderate",1030,0.0427563304275633
"Nunavut",62,"Total","Severe",830,0.0344541303445413
"Nunavut",62,"Total","Very severe",690,0.0286425902864259
"Nunavut",62,"15-24","Total population",5830,1
"Nunavut",62,"15-24","Total with disability",NA,NA
"Nunavut",62,"15-24","Mild",NA,NA
"Nunavut",62,"15-24","Moderate",NA,NA
"Nunavut",62,"15-24","Severe",NA,NA
"Nunavut",62,"15-24","Very severe",NA,NA
"Nunavut",62,"25-64","Total population",16820,1
"Nunavut",62,"25-64","Total with disability",3480,0.206896551724138
"Nunavut",62,"25-64","Mild",1640,0.0975029726516052
"Nunavut",62,"25-64","Moderate",770,0.0457788347205707
"Nunavut",62,"25-64","Severe",570,0.0338882282996433
"Nunavut",62,"25-64","Very severe",NA,NA
"Nunavut",62,"25-44","Total population",10280,1
"Nunavut",62,"25-44","Total with disability",1490,0.144941634241245
"Nunavut",62,"25-44","Mild",880,0.0856031128404669
"Nunavut",62,"25-44","Moderate",NA,NA
"Nunavut",62,"25-44","Severe",NA,NA
"Nunavut",62,"25-44","Very severe",NA,NA
"Nunavut",62,"45-64","Total population",6540,1
"Nunavut",62,"45-64","Total with disability",2000,0.305810397553517
"Nunavut",62,"45-64","Mild",760,0.116207951070336
"Nunavut",62,"45-64","Moderate",530,0.081039755351682
"Nunavut",62,"45-64","Severe",NA,NA
"Nunavut",62,"45-64","Very severe",NA,NA
"Nunavut",62,"65+","Total population",1440,1
"Nunavut",62,"65+","Total with disability",640,0.444444444444444
"Nunavut",62,"65+","Mild",NA,NA
"Nunavut",62,"65+","Moderate",NA,NA
"Nunavut",62,"65+","Severe",NA,NA
"Nunavut",62,"65+","Very severe",NA,NA
