"ref_date","geo","dguid","shelter_type","target","shelter","beds"
2016,"Brantford, Ontario","3529006","Emergency shelter","General (all)",1,36
2016,"Brantford, Ontario","3529006","Emergency shelter","General (men)",1,38
2016,"Brantford, Ontario","3529006","Emergency shelter","General (women)",0,0
2016,"Brantford, Ontario","3529006","Emergency shelter","Total",3,94
2016,"Brantford, Ontario","3529006","Emergency shelter","Youth",1,20
2016,"Brantford, Ontario","3529006","Transitional housing","Family",0,0
2016,"Brantford, Ontario","3529006","Transitional housing","General (all)",1,20
2016,"Brantford, Ontario","3529006","Transitional housing","General (men)",0,0
2016,"Brantford, Ontario","3529006","Transitional housing","General (women)",0,0
2016,"Brantford, Ontario","3529006","Transitional housing","Total",1,20
2016,"Brantford, Ontario","3529006","Transitional housing","Youth",0,0
2016,"Bridgewater, Nova Scotia","1206004","Domestic violence shelter","General (women)",1,15
2016,"Bridgewater, Nova Scotia","1206004","Domestic violence shelter","Total",1,15
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","Family",0,0
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","General (all)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","General (men)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","General (women)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","Total",0,0
2016,"Bridgewater, Nova Scotia","1206004","Emergency shelter","Youth",0,0
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","Family",0,0
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","General (all)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","General (men)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","General (women)",0,0
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","Total",1,8
2016,"Bridgewater, Nova Scotia","1206004","Transitional housing","Youth",1,8
2016,"British Columbia","59","Domestic violence shelter","General (women)",94,994
2016,"British Columbia","59","Domestic violence shelter","Total",94,994
2016,"British Columbia","59","Emergency shelter","Family",3,35
2016,"British Columbia","59","Emergency shelter","General (all)",38,1113
2016,"British Columbia","59","Emergency shelter","General (men)",10,356
2016,"British Columbia","59","Emergency shelter","General (women)",11,285
2016,"British Columbia","59","Emergency shelter","Total",75,1979
2016,"British Columbia","59","Emergency shelter","Youth",13,190
2016,"British Columbia","59","Transitional housing","Family",0,0
2016,"British Columbia","59","Transitional housing","General (all)",20,627
2016,"British Columbia","59","Transitional housing","General (men)",4,70
2016,"British Columbia","59","Transitional housing","General (women)",4,50
2016,"British Columbia","59","Transitional housing","Total",31,804
2016,"British Columbia","59","Transitional housing","Youth",3,57
2016,"Brockville, Ontario","3507015","Domestic violence shelter","General (women)",1,10
2016,"Brockville, Ontario","3507015","Domestic violence shelter","Total",1,10
2016,"Brockville, Ontario","3507015","Emergency shelter","Family",0,0
