"ref_date","geo","dguid","field","value"
"2016/2017","Québec","421","Architecture",2382
"2016/2017","Québec","421","Agriculture, natural resources and conservation",2358
"2016/2017","Québec","421","Dentistry",2403
"2016/2017","Québec","421","Medicine",2441
"2016/2017","Québec","421","Nursing",2346
"2016/2017","Québec","421","Pharmacy",2424
"2016/2017","Québec","421","Other health, parks, recreation and fitness",2379
"2016/2017","Rimouski","404","Total, field of study",2339
"2016/2017","Rimouski","404","Education",2333
"2016/2017","Rimouski","404","Humanities",2328
"2016/2017","Rimouski","404","Social and behavioural sciences, and legal studies",2328
"2016/2017","Rimouski","404","Business management and public administration",2337
"2016/2017","Rimouski","404","Physical and life sciences and technologies",2438
"2016/2017","Rimouski","404","Mathematics, computer and information sciences",2328
"2016/2017","Rimouski","404","Engineering",2328
"2016/2017","Rimouski","404","Nursing",2328
"2016/2017","Ontario","35","Total, field of study",8154
"2016/2017","Ontario","35","Education",6695
"2016/2017","Ontario","35","Visual and performing arts, and communications technologies",6771
"2016/2017","Ontario","35","Humanities",6422
"2016/2017","Ontario","35","Social and behavioural sciences, and legal studies",6463
"2016/2017","Ontario","35","Law",19663
"2016/2017","Ontario","35","Business management and public administration",9577
"2016/2017","Ontario","35","Physical and life sciences and technologies",7094
"2016/2017","Ontario","35","Mathematics, computer and information sciences",8512
"2016/2017","Ontario","35","Engineering",11583
"2016/2017","Ontario","35","Architecture",8322
"2016/2017","Ontario","35","Agriculture, natural resources and conservation",6438
"2016/2017","Ontario","35","Dentistry",36687
"2016/2017","Ontario","35","Medicine",24410
"2016/2017","Ontario","35","Nursing",6573
"2016/2017","Ontario","35","Pharmacy",18452
"2016/2017","Ontario","35","Veterinary medicine",8133
"2016/2017","Ontario","35","Other health, parks, recreation and fitness",7320
"2016/2017","Ontario","35","Personal, protective and transportation services",6747
"2016/2017","St. Catharines-Niagara","539","Total, field of study",6528
"2016/2017","St. Catharines-Niagara","539","Education",6378
"2016/2017","St. Catharines-Niagara","539","Visual and performing arts, and communications technologies",6288
"2016/2017","St. Catharines-Niagara","539","Humanities",6288
"2016/2017","St. Catharines-Niagara","539","Social and behavioural sciences, and legal studies",6288
"2016/2017","St. Catharines-Niagara","539","Business management and public administration",7349
"2016/2017","St. Catharines-Niagara","539","Physical and life sciences and technologies",6288
"2016/2017","St. Catharines-Niagara","539","Mathematics, computer and information sciences",7295
"2016/2017","St. Catharines-Niagara","539","Agriculture, natural resources and conservation",6288
"2016/2017","St. Catharines-Niagara","539","Nursing",6288
"2016/2017","St. Catharines-Niagara","539","Other health, parks, recreation and fitness",6288
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Total, field of study",7745
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Education",6390
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Visual and performing arts, and communications technologies",7381
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Humanities",6408
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Social and behavioural sciences, and legal studies",6734
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Law",13816
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Business management and public administration",7526
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Physical and life sciences and technologies",6375
"2016/2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec",NA,"Mathematics, computer and information sciences",7647
