"csd","date","topic","t_total","t_single","t_semi","t_row","t_apt","h_total","h_single","h_semi","h_row","h_apt","r_total","r_single","r_semi","r_row","r_apt","co_total","co_single","co_semi","co_row","co_apt","cp_total","cp_single","cp_semi","cp_row","cp_apt"
"1001485","1998-07-01","completions",68,68,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1999-07-01","completions",91,91,0,0,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2000-07-01","completions",134,134,0,0,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2001-07-01","completions",158,158,0,0,0,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2002-07-01","completions",204,204,0,0,0,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2003-07-01","completions",226,226,0,0,0,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2004-07-01","completions",255,255,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2005-07-01","completions",239,239,0,0,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2006-07-01","completions",220,220,0,0,0,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2007-07-01","completions",175,175,0,0,0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2008-07-01","completions",206,206,0,0,0,206,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2009-07-01","completions",237,227,0,0,10,227,227,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"1001485","2010-07-01","completions",258,232,0,0,26,232,232,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,0,0
"1001485","2011-07-01","completions",248,238,0,10,0,238,238,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"1001485","2012-07-01","completions",216,216,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2013-07-01","completions",228,212,2,14,0,212,212,0,0,0,0,0,0,0,0,16,0,2,14,0,0,0,0,0,0
"1001485","2014-07-01","completions",211,209,2,0,0,211,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2015-07-01","completions",171,160,8,0,3,168,160,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1001485","2016-07-01","completions",185,177,1,5,2,178,177,1,0,0,2,0,0,0,2,5,0,0,5,0,0,0,0,0,0
"1001485","2017-07-01","completions",164,122,12,29,1,143,122,12,9,0,21,0,0,20,1,0,0,0,0,0,0,0,0,0,0
"1001485","2018-07-01","completions",145,109,14,7,15,125,108,14,3,0,20,1,0,4,15,0,0,0,0,0,0,0,0,0,0
"1001485","2019-07-01","completions",118,101,4,12,1,105,101,4,0,0,13,0,0,12,1,0,0,0,0,0,0,0,0,0,0
"1001485","2020-07-01","completions",81,72,4,4,1,76,72,4,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"1001485","2021-07-01","completions",85,76,8,0,1,83,75,8,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1001485","2022-07-01","completions",123,110,10,3,0,123,110,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2023-07-01","completions",104,94,10,0,0,104,94,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2024-07-01","completions",78,68,10,0,0,78,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2025-07-01","completions",80,68,10,0,2,78,68,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1001485","1990-07-01","under construction",164,164,0,0,0,164,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1991-07-01","under construction",137,131,6,0,0,131,131,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1992-07-01","under construction",119,114,0,0,5,119,114,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1993-07-01","under construction",154,122,16,0,16,122,122,0,0,0,32,0,16,0,16,0,0,0,0,0,0,0,0,0,0
"1001485","1994-07-01","under construction",103,103,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1995-07-01","under construction",90,90,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1996-07-01","under construction",84,84,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1997-07-01","under construction",56,56,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1998-07-01","under construction",56,56,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1999-07-01","under construction",71,71,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2000-07-01","under construction",85,85,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2001-07-01","under construction",98,98,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2002-07-01","under construction",113,113,0,0,0,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2003-07-01","under construction",137,137,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2004-07-01","under construction",162,162,0,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2005-07-01","under construction",146,146,0,0,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
