"CSDUID_SDRIDU","CSDNAME_SDRNOM","CSDTYPE_SDRGENRE","CMAPUID_RMRPIDU","CMANAME_RMRNOM","POPCTRRATYPE_CTRPOPRRGENRE","DACODE_ADCODE","DBCODE_IDCODE"
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090141,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090141,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090141,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090141,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090144,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090145,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090145,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090146,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090146,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090146,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090146,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090148,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090148,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090148,006
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090148,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090148,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090149,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090149,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090150,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090150,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090150,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090151,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090151,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090151,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090152,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090152,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090152,010
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090152,011
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090153,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,006
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090154,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090155,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090155,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090158,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,019
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,021
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,022
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,023
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,024
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,025
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090159,026
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090165,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090165,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090166,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090166,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090166,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090169,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090169,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090170,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090171,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090171,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090171,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090172,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090172,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090374,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090374,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090375,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090375,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090375,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090376,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090376,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090377,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090378,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090379,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090379,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,009
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,010
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090380,011
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090382,003
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090382,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090383,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090383,004
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090383,005
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090383,007
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090383,008
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090384,001
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090384,002
5909052,Abbotsford,CY,59932,Abbotsford - Mission,1,59090384,003
