"ref_date","dguid","index","value"
2024,1203004,"Housing and transportation",0.3204
2024,1203004,"Housing",0.1212
2024,1203004,"Transportation",0.1991
2024,1203006,"Housing and transportation",0.4152
2024,1203006,"Housing",0.1663
2024,1203006,"Transportation",0.2489
2024,1204010,"Housing and transportation",0.31
2024,1204010,"Housing",0.1207
2024,1204010,"Transportation",0.1893
2024,1205001,"Housing and transportation",0.1747
2024,1205001,"Housing",0.1228
2024,1205001,"Transportation",0.0519
2024,1205004,"Housing and transportation",0.1736
2024,1205004,"Housing",0.1115
2024,1205004,"Transportation",0.0621
2024,1205008,"Transportation",0.0682
2024,1205009,"Housing and transportation",0.1879
2024,1205009,"Housing",0.1281
2024,1205009,"Transportation",0.0598
2024,1205014,"Housing and transportation",0.1913
2024,1205014,"Housing",0.1401
2024,1205014,"Transportation",0.0512
2024,1205016,"Housing and transportation",0.2441
2024,1205016,"Housing",0.177
2024,1205016,"Transportation",0.0671
2024,1206001,"Housing and transportation",0.2307
2024,1206001,"Housing",0.111
2024,1206001,"Transportation",0.1197
2024,1206004,"Housing and transportation",0.3167
2024,1206004,"Housing",0.1723
2024,1206004,"Transportation",0.1444
2024,1206006,"Housing and transportation",0.2841
2024,1206006,"Housing",0.1534
2024,1206006,"Transportation",0.1307
2024,1206008,"Housing and transportation",0.3028
2024,1206008,"Housing",0.1696
2024,1206008,"Transportation",0.1332
2024,1206009,"Housing and transportation",0.257
2024,1206009,"Housing",0.1289
2024,1206009,"Transportation",0.128
2024,1207001,"Housing and transportation",0.2827
2024,1207001,"Housing",0.1399
2024,1207001,"Transportation",0.1428
2024,1207002,"Transportation",0.1606
2024,1207004,"Housing and transportation",0.3457
2024,1207004,"Housing",0.1766
2024,1207004,"Transportation",0.1691
2024,1207011,"Housing and transportation",0.3166
2024,1207011,"Housing",0.1594
2024,1207011,"Transportation",0.1571
2024,1207012,"Housing and transportation",0.329
2024,1207012,"Housing",0.1799
2024,1207012,"Transportation",0.1491
2024,1207016,"Housing and transportation",0.2934
2024,1207016,"Housing",0.1432
2024,1207016,"Transportation",0.1502
2024,1207021,"Housing and transportation",0.269
2024,1207021,"Housing",0.1291
2024,1207021,"Transportation",0.1399
2024,1207024,"Housing and transportation",0.3494
2024,1207024,"Housing",0.1746
2024,1207024,"Transportation",0.1749
2024,1208003,"Housing and transportation",0.3658
2024,1208003,"Housing",0.147
2024,1208003,"Transportation",0.2188
2024,1208008,"Housing and transportation",0.3347
2024,1208008,"Housing",0.1557
2024,1208008,"Transportation",0.1789
2024,1208014,"Housing and transportation",0.3294
2024,1208014,"Housing",0.0872
2024,1208014,"Transportation",0.2422
2024,1209034,"Housing and transportation",0.3065
2024,1209034,"Housing",0.1824
2024,1209034,"Transportation",0.1242
2024,1210001,"Housing and transportation",0.3336
2024,1210001,"Housing",0.1337
2024,1210001,"Transportation",0.1999
2024,1210002,"Housing and transportation",0.3873
2024,1210002,"Housing",0.1615
2024,1210002,"Transportation",0.2258
2024,1210003,"Transportation",0.2801
2024,1210006,"Housing and transportation",0.4409
2024,1210006,"Housing",0.171
2024,1210006,"Transportation",0.2699
2024,1210008,"Housing and transportation",0.3475
2024,1210008,"Housing",0.1362
2024,1210008,"Transportation",0.2113
2024,1210012,"Housing and transportation",0.348
2024,1210012,"Housing",0.114
2024,1210012,"Transportation",0.234
