"dguid","price","beds","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1103035,"median","2",NA,NA,NA,205000,NA,NA,NA,NA,NA,310000
1103035,"median","1",NA,NA,NA,NA,NA,80000,145000,NA,NA,NA
1103039,"median","3",75000,195750,191450,105000,245000,319500,272500,331250,385000,346500
1103039,"median","Total",75000,183000,189900,1e+05,210000,319500,272500,276700,352450,299000
1103039,"median","2",NA,98000,NA,1e+05,NA,NA,NA,212450,180000,245000
1103039,"median","1",NA,NA,69000,NA,135000,NA,NA,NA,NA,NA
1103040,"median","2",155750,152500,164000,94250,175000,170000,NA,225500,211000,257250
1103040,"median","3",120000,134000,167000,172500,230000,270000,332500,345000,329000,345500
1103040,"median","Total",130000,134500,165500,164500,230000,250000,332500,295000,315000,335000
1103040,"median","0",NA,59000,NA,NA,NA,NA,NA,NA,NA,NA
1103040,"median","1",NA,NA,NA,NA,295000,NA,NA,NA,NA,279000
1103042,"median","3",375000,130000,145500,95500,302750,189500,325000,252500,317500,302500
1103042,"median","Total",375000,130000,145500,95500,193250,171000,278500,220000,286000,247500
1103042,"median","2",NA,NA,165250,NA,117500,171000,190000,172500,286000,176000
1103043,"median","3",160000,181600,132500,139000,199999,269000,270000,362495,347500,350000
1103043,"median","Total",160000,175675,132500,138000,195000,249000,269000,325000,345000,350000
1103043,"median","2",NA,82500,NA,130000,195000,307800,226500,230000,255000,NA
1103043,"median","1",NA,NA,NA,NA,110000,159000,NA,NA,NA,NA
1103050,"median","3",NA,135000,58750,72500,NA,167500,237500,NA,435000,235000
1103050,"median","Total",NA,135000,58750,72500,NA,167500,237500,NA,435000,235000
1103052,"median","3",148500,80900,129000,318500,115000,285000,327500,495000,474000,NA
1103052,"median","Total",148500,80900,145000,110000,115000,242000,265000,405000,274950,275000
1103052,"median","2",NA,NA,173000,72500,NA,75000,155000,165000,159000,275000
1103052,"median","1",NA,NA,NA,110000,NA,82400,NA,NA,NA,NA
1103053,"median","2",225000,205000,NA,224500,NA,NA,199000,NA,285000,NA
1103053,"median","3",145000,285000,367250,139000,460000,530000,575000,NA,4e+05,315000
1103053,"median","Total",185000,247000,367250,165000,460000,530000,387000,NA,385000,315000
1103055,"median","3",NA,147500,76500,NA,65000,237950,365000,330000,NA,255000
1103055,"median","Total",NA,147500,76500,92500,65000,237950,365000,379500,80500,255000
1103055,"median","2",NA,NA,NA,92500,NA,NA,NA,429000,NA,NA
1103055,"median","1",NA,NA,NA,NA,NA,NA,NA,NA,80500,NA
1103059,"median","3",265500,185000,170000,87500,166500,183000,250000,319000,250000,NA
1103059,"median","Total",265500,192500,149000,87500,166500,183000,232500,297000,250000,290000
1103059,"median","2",NA,2e+05,87000,NA,NA,NA,215000,115000,219000,290000
1103060,"median","3",NA,167500,NA,117500,NA,165000,420000,189000,310000,260000
1103060,"median","Total",NA,167500,NA,117500,NA,162000,420000,189000,310000,260000
1103060,"median","2",NA,NA,NA,NA,NA,125000,NA,NA,NA,250000
1103061,"median","2",87000,85000,1e+05,105000,294000,150000,4e+05,250000,268000,145000
1103061,"median","3",210000,81000,175000,204000,294000,220000,279000,375000,351000,335000
1103061,"median","Total",109000,80500,152500,190000,294000,214000,295000,370000,329900,184950
1103061,"median","0",NA,70000,NA,NA,NA,NA,NA,NA,NA,NA
1103061,"median","1",NA,55000,85000,NA,NA,NA,NA,NA,NA,169000
1103062,"median","2",NA,NA,70000,NA,NA,NA,NA,NA,NA,225000
1103062,"median","3",NA,NA,56000,NA,NA,85000,175000,260000,NA,277000
1103062,"median","Total",NA,NA,63000,NA,NA,85000,175000,260000,NA,251000
1103063,"median","2",63000,NA,NA,182000,175900,NA,357000,335000,277500,155000
1103063,"median","3",131900,147000,142000,245000,236500,240000,315000,195000,254000,382500
1103063,"median","Total",125950,147000,142000,213500,193000,240000,315000,222500,257500,328000
1103063,"median","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,168900
1103064,"median","2",210000,91500,95000,99500,219000,159900,167000,225000,150000,152000
1103064,"median","3",118750,105000,152000,111500,245000,233000,240000,194000,272500,288500
1103064,"median","Total",122500,104500,122500,106000,232000,226000,203500,216000,235000,234000
1103064,"median","1",NA,52000,NA,NA,NA,155000,120050,130000,NA,113000
1103065,"median","3",166500,145000,159000,207000,277725,250000,3e+05,279000,335000,355000
