"year","geo","dguid","age","type","value"
2021,"Newfoundland and Labrador","10","20 to 24","lodging and rooming houses",45
2021,"Newfoundland and Labrador","10","20 to 24","hotels, motels, and temporary accommodation",0
2021,"Newfoundland and Labrador","10","20 to 24","other service collective",20
2021,"Newfoundland and Labrador","10","20 to 24","religious establishments",0
2021,"Newfoundland and Labrador","10","20 to 24","hutterite colonies",0
2021,"Newfoundland and Labrador","10","20 to 24","other",50
2021,"Newfoundland and Labrador","10","25 to 29","total",255
2021,"Newfoundland and Labrador","10","25 to 29","health care and related",60
2021,"Newfoundland and Labrador","10","25 to 29","hospitals",10
2021,"Newfoundland and Labrador","10","25 to 29","nursing homes",5
2021,"Newfoundland and Labrador","10","25 to 29","senior residences",0
2021,"Newfoundland and Labrador","10","25 to 29","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","25 to 29","residential care facilities",45
2021,"Newfoundland and Labrador","10","25 to 29","correctional facilities",115
2021,"Newfoundland and Labrador","10","25 to 29","shelters",20
2021,"Newfoundland and Labrador","10","25 to 29","service collective",40
2021,"Newfoundland and Labrador","10","25 to 29","lodging and rooming houses",25
2021,"Newfoundland and Labrador","10","25 to 29","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","25 to 29","other service collective",10
2021,"Newfoundland and Labrador","10","25 to 29","religious establishments",0
2021,"Newfoundland and Labrador","10","25 to 29","hutterite colonies",0
2021,"Newfoundland and Labrador","10","25 to 29","other",25
2021,"Newfoundland and Labrador","10","30 to 34","total",265
2021,"Newfoundland and Labrador","10","30 to 34","health care and related",70
2021,"Newfoundland and Labrador","10","30 to 34","hospitals",5
2021,"Newfoundland and Labrador","10","30 to 34","nursing homes",5
2021,"Newfoundland and Labrador","10","30 to 34","senior residences",0
2021,"Newfoundland and Labrador","10","30 to 34","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","30 to 34","residential care facilities",60
2021,"Newfoundland and Labrador","10","30 to 34","correctional facilities",150
2021,"Newfoundland and Labrador","10","30 to 34","shelters",15
2021,"Newfoundland and Labrador","10","30 to 34","service collective",15
