"CSDUID","CDUID","PRUID","area_km2","tx30_2025","tx30_2050","tx30_change","tx30_extrapolated","tx30_2025_cd_mean","tx30_2050_cd_mean","tx30_change_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx30_change_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx30_change_pctile_national","tx30_2025_diff_cd","tx30_2050_diff_cd","tx30_change_diff_cd","tx30_2025_diff_pr","tx30_2050_diff_pr","tx30_change_diff_pr","tx30_2025_diff_national","tx30_2050_diff_national","tx30_change_diff_national"
"4715004","4715","47",1.45526974647021,15.5,24.5,9,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,69,68.6,69.5,0.5,2.2,1.7,1.9,4.9,3,13.1,20.7,7.7
"4715005","4715","47",0.710478365949405,14,23,9,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,64.8,65.4,69.5,-1,0.7,1.7,0.4,3.4,3,11.6,19.2,7.7
"5951053","5951","59",14977.1277702045,0.900243309002433,0.963503649635037,0.1,FALSE,1.26431711556614,1.77208305359036,0.540061045143037,2.10025303262589,3.54620247469099,1.44318936152802,11.9,9.5,9.4,-0.4,-0.8,-0.4,-1.2,-2.6,-1.3,-1.5,-2.8,-1.2
"4604057","4604","46",811.980390091995,27.24,40.44,13.2,FALSE,25.2110768674318,38.2436097696562,13.0142562494705,7.08685808444836,11.085352408936,3.97921033378658,91,93,92.9,2,2.2,0.2,20.2,29.4,9.2,24.8,36.7,11.9
"4701039","4701","47",732.681372529596,28.4583333333333,40.75,12.3,FALSE,28.4098671079406,40.8940702950912,12.4901954660625,13.579379603014,19.5797131677624,5.99856635388725,92,93.2,87.1,0,-0.1,-0.2,14.9,21.2,6.3,26,37,11
"4701079","4701","47",0.399232047638362,19,29.5,10.5,FALSE,28.4098671079406,40.8940702950912,12.4901954660625,13.579379603014,19.5797131677624,5.99856635388725,79.4,75.9,77.7,-9.4,-11.4,-2,5.4,9.9,4.5,16.6,25.7,9.2
"4717047","4717","47",1464.37460764512,8.64102564102564,17.0512820512821,8.4,FALSE,10.2646960695103,17.0896743713321,6.81207933369849,13.579379603014,19.5797131677624,5.99856635388725,46.5,52.3,65.3,-1.6,0,1.6,-4.9,-2.5,2.4,6.2,13.3,7.1
"5953803","5953","59",86.724827121672,3.14285714285714,3.85714285714286,0.7,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,23,15.7,11.9,0.8,0.6,-0.2,1,0.3,-0.7,0.7,0.1,-0.6
"5955005","5955","59",2.05756143752796,6,7,1,FALSE,1.10859105103773,1.41159863736059,0.297998265799092,2.10025303262589,3.54620247469099,1.44318936152802,35.2,24.4,13.5,4.9,5.6,0.7,3.9,3.5,-0.4,3.6,3.2,-0.3
"4718820","4718","47",5.6415099863587,8,10,2,FALSE,4.30610507743881,6.71038502478717,2.40285037630977,13.579379603014,19.5797131677624,5.99856635388725,43.8,33.7,18.9,3.7,3.3,-0.4,-5.6,-9.6,-4,5.6,6.2,0.7
