"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"4815035","4815","48",4.19699841554093,FALSE,0,0,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,2.5,1.7,12.3,9.6,40.8,27.7
"4815037","4815","48",10415.1210137487,FALSE,0,0.00495049504950495,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,2.5,3.4,12.3,9.6,40.8,27.7
"4815045","4815","48",2627.79345797944,FALSE,0.705882352941177,3.25490196078431,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,6.8,8.6,12.3,9.6,40.8,27.7
"4815802","4815","48",449.775387934304,FALSE,1,3.78571428571429,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,7.5,9.2,12.3,9.6,40.8,27.7
"4815815","4815","48",68.3530541608342,FALSE,1.25,4,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,8.1,9.7,12.3,9.6,40.8,27.7
"4816037","4816","48",66088.4751827779,FALSE,12.858310626703,16.2161671207993,0.532243415077203,1.67665758401453,0,0,13.502222437972,16.3168693562992,0.652677781367788,1.42499827014808,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,26.5,24,30.3,27.8,40.8,27.7
"4816051","4816","48",36105.3578419001,FALSE,14.6682464454976,16.4897314375987,0.870458135860979,0.960505529225908,0,0,13.502222437972,16.3168693562992,0.652677781367788,1.42499827014808,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,29.5,24.2,32.5,24.1,40.8,27.7
"4804020","4804","48",4548.5937451803,FALSE,23.6538461538462,36.5641025641026,3.28205128205128,7.76923076923077,0,0,26.3774043313321,41.47220417469,3.95628172756084,9.87962534434953,0,0.032358782218253,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,48.8,51,51.7,51.8,40.8,27.7
"4804021","4804","48",0.816892352416707,FALSE,22,35,2,5,0,0,26.3774043313321,41.47220417469,3.95628172756084,9.87962534434953,0,0.032358782218253,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,45.5,48.1,43.3,42.1,40.8,27.7
"4804022","4804","48",2.9957533177279,FALSE,22,35,2,6,0,0,26.3774043313321,41.47220417469,3.95628172756084,9.87962534434953,0,0.032358782218253,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,45.5,48.1,43.3,45.9,40.8,27.7
"4805001","4805","48",5527.28295488305,FALSE,22.5,41.5851063829787,1.15957446808511,5.1063829787234,0,0,20.8707215745749,37.8409102625807,1.02345613203101,4.88706836091156,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,46.6,60,37.3,43.2,40.8,27.7
"4817848","4817","48",111.727081277792,FALSE,18.5,16.125,0.125,0,0,0,9.97336453719172,10.347552316858,0.146376454252422,0.390853472124447,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,37.8,23.9,26.2,9.6,40.8,27.7
"4817849","4817","48",14.9746553840871,FALSE,16.25,12.5,0,0,0,0,9.97336453719172,10.347552316858,0.146376454252422,0.390853472124447,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,32.8,20.2,12.3,9.6,40.8,27.7
"4817850","4817","48",6.5224082797636,FALSE,12,11.5,0,0.5,0,0,9.97336453719172,10.347552316858,0.146376454252422,0.390853472124447,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,25.5,19.2,12.3,22.2,40.8,27.7
"4817853","4817","48",12.2528570214687,FALSE,13.5,12.5,0,0.25,0,0,9.97336453719172,10.347552316858,0.146376454252422,0.390853472124447,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,27.6,20.2,12.3,21,40.8,27.7
"4817854","4817","48",0.528217463289103,FALSE,20,18,1,1,0,0,9.97336453719172,10.347552316858,0.146376454252422,0.390853472124447,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,40.7,25.7,34.8,25,40.8,27.7
"3560056","3560","35",391.316830215705,FALSE,29.2307692307692,45.2307692307692,5.30769230769231,10.0769230769231,0,0.384615384615385,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,61.4,65.4,61.8,59.6,40.8,59.4
