"dguid","char","period","total","o","om","onm","r","rs","rns"
1007,"Total","Before 2016",14335,11965,4130,7840,2365,330,2035
1007,"Total","2016 to 2021",500,340,185,150,165,40,125
1007,"1+ person with limitation","Total",1230,965,565,400,260,35,225
1007,"1+ person with limitation","Before 2016",1175,930,545,390,245,35,210
1007,"1+ person with limitation","2016 to 2021",55,30,25,0,20,0,15
1007,"Veteran in household","Total",395,330,115,220,65,0,60
1007,"Veteran in household","Before 2016",370,310,110,205,60,0,55
1007,"Veteran in household","2016 to 2021",20,15,0,0,0,0,0
1007,"0.5% or under","Total",4405,4160,45,4120,245,55,190
1007,"0.5% or under","Before 2016",4320,4075,40,4035,245,55,190
1007,"0.5% or under","2016 to 2021",85,85,0,80,0,0,0
1007,"0.6% to 1.25%","Total",5365,4365,700,3665,1000,210,790
1007,"0.6% to 1.25%","Before 2016",5265,4295,690,3600,970,195,780
1007,"0.6% to 1.25%","2016 to 2021",100,70,0,60,30,0,0
1007,"1.26% to 2%","Total",3235,2085,1915,175,1150,100,1050
1007,"1.26% to 2%","Before 2016",3055,2025,1860,170,1030,75,955
1007,"1.26% to 2%","2016 to 2021",180,65,60,0,120,25,95
1007,"2.1% to 3%","Total",1335,1215,1180,35,115,0,115
1007,"2.1% to 3%","Before 2016",1240,1145,1110,35,100,0,90
1007,"2.1% to 3%","2016 to 2021",90,70,70,0,20,0,20
1007,"3.1% or over","Total",495,475,475,0,20,0,0
1007,"3.1% or over","Before 2016",455,435,430,0,20,0,0
1007,"3.1% or over","2016 to 2021",45,45,45,0,0,0,0
1008,"Total","Total",15375,13180,3575,9605,2195,400,1800
1008,"Total","Before 2016",14920,12855,3430,9420,2065,365,1705
1008,"Total","2016 to 2021",455,325,140,185,130,35,95
1008,"1+ person with limitation","Total",1235,1015,480,540,215,25,200
1008,"1+ person with limitation","Before 2016",1180,970,445,525,215,25,190
1008,"1+ person with limitation","2016 to 2021",50,50,35,0,0,0,0
1008,"Veteran in household","Total",420,375,110,260,50,0,40
1008,"Veteran in household","Before 2016",400,350,100,255,50,0,40
1008,"Veteran in household","2016 to 2021",20,20,0,0,0,0,0
1008,"0.5% or under","Total",5265,5070,0,5060,190,55,140
