"dguid","var","1per","2per","3per","4per","5per"
3509015,"mbm",23430,33130,40580,46860,52390
3509015,"living_income",38030,53780,65860,76050,85030
3509021,"mbm",27210,38480,47130,54420,60850
3509021,"living_income",44100,62370,76390,88210,98620
3509024,"mbm",24900,35210,43120,49790,55670
3509024,"living_income",40040,56620,69350,80080,89530
3509028,"mbm",27740,39230,48050,55480,62030
3509028,"living_income",44590,63060,77230,89180,99710
3509030,"mbm",25800,36490,44690,51610,57700
3509030,"living_income",41560,58770,71980,83120,92930
3509039,"mbm",25390,35910,43990,50790,56780
3509039,"living_income",41100,58130,71190,82200,91900
3510010,"mbm",27970,39560,48450,55950,62550
3510010,"living_income",45070,63740,78070,90150,100790
3510020,"mbm",24780,35040,42910,49550,55400
3510020,"living_income",39990,56560,69270,79990,89430
3510035,"mbm",25680,36310,44470,51350,57420
3510035,"living_income",41700,58970,72230,83400,93240
3510045,"mbm",24210,34240,41940,48430,54140
3510045,"living_income",39500,55870,68420,79010,88330
3511005,"mbm",26600,37620,46070,53200,59480
3511005,"living_income",42830,60570,74180,85660,95770
3511015,"mbm",27340,38660,47350,54680,61130
3511015,"living_income",44130,62410,76430,88260,98670
3511030,"mbm",25520,36090,44200,51030,57060
3511030,"living_income",41220,58290,71400,82440,92170
3511035,"mbm",26600,37620,46070,53200,59480
3511035,"living_income",43320,61270,75040,86640,96870
3512001,"mbm",25440,35980,44070,50890,56900
3512001,"living_income",41050,58060,71110,82110,91800
3512002,"mbm",27930,39500,48380,55870,62460
3512002,"living_income",45230,63970,78340,90460,101140
3512004,"mbm",22360,31620,38720,44710,49990
3512004,"living_income",36840,52100,63810,73680,82380
3512005,"mbm",28000,39600,48500,56000,62610
3512005,"living_income",45190,63900,78270,90370,101040
3512015,"mbm",26040,36830,45110,52090,58240
3512015,"living_income",42120,59560,72950,84240,94180
3512020,"mbm",26270,37150,45500,52540,58750
3512020,"living_income",42460,60050,73550,84930,94950
3512026,"mbm",26740,37810,46310,53470,59780
3512026,"living_income",43210,61110,74840,86420,96620
3512030,"mbm",26590,37600,46050,53180,59460
3512030,"living_income",43100,60950,74650,86200,96380
