"munic","pr","scoremat","scoresoc","scoremat_can","scoresoc_can","scoremat_pr","scoresoc_pr"
1001274,"10",0.0548403501015268,0.00878672486355711,4,4,3,5
1001277,"10",0.0341537201278722,-0.0434976741835208,4,1,2,2
1001281,"10",0.0839929991485007,-0.0457256892254647,5,1,4,2
1001285,"10",0.02509046723887,-0.0239413742942793,4,2,2,3
1001289,"10",0.0231664398991247,-0.0210765787256699,4,2,2,4
1001293,"10",0.0207785734994761,-0.0408474269004288,3,1,2,2
1001298,"10",0.0361954130362532,-0.0341435226985479,4,1,2,3
1001304,"10",0.0484168273400176,-0.0358508098026848,4,1,3,3
1001308,"10",-0.00920711580832046,-0.0257008242436189,1,2,1,3
1001312,"10",0.0564306430114331,-0.0396399791423801,4,1,3,2
1001316,"10",0.113704282625381,-0.0226000364311649,5,2,5,3
1001321,"10",0.0317823319474256,-0.0272176368162236,4,2,2,3
1001325,"10",0.0679031313595985,0.00481971827680661,5,4,4,5
1001328,"10",0.0295621053450993,-0.00278100980014548,4,3,2,5
1001332,"10",0.0621454233753668,-0.0270202763901001,5,2,3,3
1001335,"10",0.0574268358571044,-0.0424929345659712,4,1,3,2
1001339,"10",0.0423504103949287,-0.00294128308878474,4,3,2,5
1001343,"10",0.00943707475284803,-0.0186620028700049,3,2,1,4
1001347,"10",0.0685055031561303,-0.0467453932472304,5,1,4,2
1001352,"10",0.0258583994600158,-0.0235749104411706,4,2,2,3
